Año,Periodo,Precio Valencia,Precio España,city
2013,Enero,1201.51,1187.89,Valencia
2013,Febrero,1201.51,1181.25,Valencia
2013,Marzo,1201.51,1311.66,Valencia
2013,Abril,1201.51,1208.21,Valencia
2013,Mayo,1201.51,1256.21,Valencia
2013,Junio,1201.51,1286.78,Valencia
2013,Julio,1201.51,1300.88,Valencia
2013,Agosto,1201.51,1215.54,Valencia
2013,Septiembre,1201.51,1223.42,Valencia
2013,Octubre,1201.51,1269.13,Valencia
2013,Noviembre,1201.51,1212.81,Valencia
2013,Diciembre,1201.51,1268.71,Valencia
2014,Enero,1061.6875,1312.64,Valencia
2014,Febrero,1061.6875,1230.12,Valencia
2014,Marzo,1061.6875,1298.75,Valencia
2014,Abril,1061.6875,1236.61,Valencia
2014,Mayo,1061.6875,1257.8,Valencia
2014,Junio,1061.6875,1263.14,Valencia
2014,Julio,1061.6875,1277.0,Valencia
2014,Agosto,1061.6875,1166.11,Valencia
2014,Septiembre,1061.6875,1222.02,Valencia
2014,Octubre,1061.6875,1229.83,Valencia
2014,Noviembre,1061.6875,1232.74,Valencia
2014,Diciembre,1061.6875,1273.91,Valencia
2015,Enero,1098.1225,1277.72,Valencia
2015,Febrero,1098.1225,1225.57,Valencia
2015,Marzo,1098.1225,1236.56,Valencia
2015,Abril,1098.1225,1307.98,Valencia
2015,Mayo,1098.1225,1280.53,Valencia
2015,Junio,1098.1225,1315.2,Valencia
2015,Julio,1098.1225,1320.46,Valencia
2015,Agosto,1098.1225,1163.08,Valencia
2015,Septiembre,1098.1225,1281.1,Valencia
2015,Octubre,1098.1225,1255.89,Valencia
2015,Noviembre,1098.1225,1281.94,Valencia
2015,Diciembre,1098.1225,1312.71,Valencia
2016,Enero,1114.2199999999998,1331.29,Valencia
2016,Febrero,1114.2199999999998,1273.03,Valencia
2016,Marzo,1114.2199999999998,1294.32,Valencia
2016,Abril,1114.2199999999998,1304.66,Valencia
2016,Mayo,1114.2199999999998,1313.93,Valencia
2016,Junio,1114.2199999999998,1339.38,Valencia
2016,Julio,1114.2199999999998,1340.07,Valencia
2016,Agosto,1114.2199999999998,1156.16,Valencia
2016,Septiembre,1114.2199999999998,1300.03,Valencia
2016,Octubre,1114.2199999999998,1341.26,Valencia
2016,Noviembre,1114.2199999999998,1299.7,Valencia
2016,Diciembre,1114.2199999999998,1357.73,Valencia
2017,Enero,1190.5425,1368.55,Valencia
2017,Febrero,1190.5425,1349.41,Valencia
2017,Marzo,1190.5425,1346.95,Valencia
2017,Abril,1190.5425,1411.97,Valencia
2017,Mayo,1190.5425,1363.87,Valencia
2017,Junio,1190.5425,1395.38,Valencia
2017,Julio,1190.5425,1440.58,Valencia
2017,Agosto,1190.5425,1225.26,Valencia
2017,Septiembre,1190.5425,1393.53,Valencia
2017,Octubre,1190.5425,1371.99,Valencia
2017,Noviembre,1190.5425,1356.08,Valencia
2017,Diciembre,1190.5425,1380.63,Valencia
2018,Enero,1321.5666666666668,1388.17,Valencia
2018,Febrero,1321.5666666666668,1363.29,Valencia
2018,Marzo,1321.5666666666668,1364.94,Valencia
2018,Abril,1321.5666666666668,1431.43,Valencia
2018,Mayo,1321.5666666666668,1386.2,Valencia
2018,Junio,1321.5666666666668,1421.42,Valencia
2018,Julio,1321.5666666666668,1468.0,Valencia
2018,Agosto,1321.5666666666668,1284.31,Valencia
2018,Septiembre,1321.5666666666668,1458.41,Valencia
2018,Octubre,1321.5666666666668,1396.47,Valencia
2018,Noviembre,1321.5666666666668,1411.77,Valencia
2018,Diciembre,1321.5666666666668,1458.47,Valencia
2019,Enero,1509.04890052356,1452.43,Valencia
2019,Febrero,1509.04890052356,1386.39,Valencia
2019,Marzo,1509.04890052356,1427.06,Valencia
2019,Abril,1509.04890052356,1417.99,Valencia
2019,Mayo,1509.04890052356,1408.33,Valencia
2019,Junio,1509.04890052356,1449.7,Valencia
2019,Julio,1509.04890052356,1519.39,Valencia
2019,Agosto,1509.04890052356,1370.26,Valencia
2019,Septiembre,1509.04890052356,1458.43,Valencia
2019,Octubre,1509.04890052356,1427.42,Valencia
2019,Noviembre,1509.04890052356,1444.52,Valencia
2019,Diciembre,1509.04890052356,1478.01,Valencia
2020,Enero,1509.04890052356,1492.84,Valencia
2020,Febrero,1509.04890052356,1439.09,Valencia
2020,Marzo,1509.04890052356,1451.93,Valencia
2020,Abril,1509.04890052356,1513.19,Valencia
2020,Mayo,1509.04890052356,1482.59,Valencia
2020,Junio,1509.04890052356,1439.29,Valencia
2020,Julio,1509.04890052356,1443.68,Valencia
2020,Agosto,1509.04890052356,1294.0,Valencia
2020,Septiembre,1509.04890052356,1374.0,Valencia
2020,Octubre,1509.04890052356,1377.0,Valencia
2020,Noviembre,1509.04890052356,1398.0,Valencia
2020,Diciembre,1509.04890052356,1463.0,Valencia
2021,Enero,1509.04890052356,1497.0,Valencia
2021,Febrero,1509.04890052356,1428.0,Valencia
2021,Marzo,1509.04890052356,1449.0,Valencia
2021,Abril,1509.04890052356,1479.0,Valencia
2021,Mayo,1509.04890052356,1490.0,Valencia
2021,Junio,1509.04890052356,1533.11,Valencia
2021,Julio,1509.04890052356,1579.11,Valencia
2021,Agosto,1509.04890052356,1430.9,Valencia
2021,Septiembre,1509.04890052356,1539.56,Valencia
2021,Octubre,1509.04890052356,1527.16,Valencia
2021,Noviembre,1509.04890052356,1551.0,Valencia
2021,Diciembre,1509.04890052356,1582.0,Valencia
2022,Enero,1509.04890052356,1651.0,Valencia
2022,Febrero,1509.04890052356,1578.0,Valencia
2022,Marzo,1509.04890052356,1622.0,Valencia
2022,Abril,1509.04890052356,1607.0,Valencia
2022,Mayo,1509.04890052356,1604.0,Valencia
2022,Junio,1509.04890052356,1644.0,Valencia
2022,Julio,1509.04890052356,1695.0,Valencia
2022,Agosto,1509.04890052356,1498.0,Valencia
2022,Septiembre,1509.04890052356,1660.0,Valencia
2022,Octubre,1509.04890052356,1605.0,Valencia
2022,Noviembre,1509.04890052356,1570.0,Valencia
2022,Diciembre,1509.04890052356,1594.0,Valencia
2023,Enero,1509.04890052356,1627.0,Valencia
2023,Febrero,1509.04890052356,1582.0,Valencia
2023,Marzo,1509.04890052356,1580.0,Valencia
2023,Abril,1509.04890052356,1622.0,Valencia
2023,Mayo,1509.04890052356,1616.0,Valencia
2023,Junio,1509.04890052356,1622.0,Valencia
2023,Julio,1509.04890052356,1683.0,Valencia
2023,Agosto,1509.04890052356,1533.0,Valencia
2023,Septiembre,1509.04890052356,1685.0,Valencia
2023,Octubre,1509.04890052356,1644.0,Valencia
2023,Noviembre,1509.04890052356,1688.0,Valencia
2023,Diciembre,1509.04890052356,1687.0,Valencia
2024,Enero,1509.04890052356,1706.0,Valencia
2024,Febrero,1509.04890052356,1649.0,Valencia
2024,Marzo,1509.04890052356,1702.0,Valencia
2024,Abril,1509.04890052356,1669.0,Valencia
2024,Mayo,1509.04890052356,1710.0,Valencia
2024,Junio,1509.04890052356,1741.0,Valencia
2024,Julio,1509.04890052356,1731.0,Valencia
2024,Agosto,1509.04890052356,1599.0,Valencia
2024,Septiembre,1509.04890052356,1813.0,Valencia
2024,Octubre,1509.04890052356,1693.0,Valencia
2024,Noviembre,1509.04890052356,1799.0,Valencia
2024,Diciembre,1509.04890052356,1819.0,Valencia
2025,Enero,1509.04890052356,1693.0,Valencia
2025,Febrero,1509.04890052356,1843.0,Valencia
2025,Marzo,1509.04890052356,1826.0,Valencia
